-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2016 through 12/31/2025 in LST
Location: Latitude  -2.5547   Longitude 120.3242 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 658.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/hour) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Airport: flat rough grass (airportgrass) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,WS10M,T2M,PRECTOTCORR,PS,ALLSKY_KT,WSC
2016,1,1,0,0.0,0.0,0.0,1.28,23.3,55.97,93.91,-999.0,1.63
2016,1,1,1,0.0,0.0,0.0,1.15,23.24,75.76,93.88,-999.0,1.47
2016,1,1,2,0.0,0.0,0.0,1.09,23.19,105.51,93.88,-999.0,1.36
2016,1,1,3,0.0,0.0,0.0,1.23,23.12,144.48,93.9,-999.0,1.49
2016,1,1,4,0.0,0.0,0.0,1.5,22.77,182.76,93.95,-999.0,1.81
2016,1,1,5,0.0,0.0,0.0,1.75,22.37,192.15,94.03,-999.0,2.11
2016,1,1,6,45.3,37.18,42.63,1.72,22.41,149.35,94.12,0.24,2.29
2016,1,1,7,196.3,89.02,140.9,1.9,22.94,86.81,94.2,0.38,2.16
2016,1,1,8,327.6,125.89,198.36,1.99,23.14,0.06,94.23,0.41,2.06
2016,1,1,9,441.42,286.15,209.09,1.93,23.24,0.05,94.23,0.42,1.95
2016,1,1,10,536.72,655.08,155.57,1.7,23.77,0.04,94.19,0.44,1.69
2016,1,1,11,750.45,438.6,292.01,1.55,24.81,0.04,94.13,0.58,1.52
2016,1,1,12,788.62,448.09,292.53,1.48,25.99,0.03,94.04,0.6,1.4
2016,1,1,13,746.45,539.25,244.05,1.62,26.56,0.03,93.96,0.61,1.46
2016,1,1,14,624.6,504.58,217.77,1.85,26.46,0.03,93.88,0.59,1.71
2016,1,1,15,447.2,478.8,136.35,1.88,25.84,0.03,93.85,0.55,1.8
2016,1,1,16,238.95,313.5,116.42,1.55,25.11,0.04,93.88,0.46,1.59
2016,1,1,17,59.03,112.02,44.63,1.0,24.54,0.04,93.92,0.29,1.24
2016,1,1,18,0.0,0.0,0.0,0.63,24.01,0.03,94.0,-999.0,0.93
2016,1,1,19,0.0,0.0,0.0,0.64,23.71,0.03,94.07,-999.0,0.79
2016,1,1,20,0.0,0.0,0.0,0.63,23.67,0.03,94.11,-999.0,0.71
2016,1,1,21,0.0,0.0,0.0,0.47,23.63,0.03,94.12,-999.0,0.51
2016,1,1,22,0.0,0.0,0.0,0.26,23.59,0.04,94.1,-999.0,0.24
2016,1,1,23,0.0,0.0,0.0,0.52,23.34,0.06,94.07,-999.0,0.52
2016,1,2,0,0.0,0.0,0.0,0.72,22.96,0.07,94.01,-999.0,0.77
2016,1,2,1,0.0,0.0,0.0,0.64,22.77,0.07,93.96,-999.0,0.68
2016,1,2,2,0.0,0.0,0.0,0.44,22.6,0.09,93.93,-999.0,0.5
2016,1,2,3,0.0,0.0,0.0,0.21,22.44,0.13,93.94,-999.0,0.36
2016,1,2,4,0.0,0.0,0.0,0.1,22.3,0.19,93.98,-999.0,0.16
2016,1,2,5,0.0,0.0,0.0,0.19,22.26,0.25,94.02,-999.0,0.23
2016,1,2,6,44.92,20.52,42.04,0.42,22.51,0.27,94.06,0.24,0.59
2016,1,2,7,160.38,33.8,134.15,0.85,23.21,0.29,94.1,0.31,1.04
2016,1,2,8,302.75,51.46,218.28,1.17,24.02,1.46,94.13,0.38,1.26
2016,1,2,9,453.55,67.16,336.08,1.4,24.82,1.41,94.13,0.43,1.5
2016,1,2,10,606.38,250.85,281.75,1.75,25.9,1.34,94.09,0.5,1.78
2016,1,2,11,647.67,253.13,325.07,1.79,26.32,1.15,94.02,0.5,1.78
2016,1,2,12,674.67,324.99,271.21,1.75,26.41,1.0,93.93,0.52,1.7
2016,1,2,13,576.17,296.35,266.04,1.88,26.29,0.89,93.85,0.47,1.8
2016,1,2,14,511.15,360.47,193.46,2.1,25.79,0.83,93.79,0.48,2.02
2016,1,2,15,346.15,237.53,174.99,2.18,25.1,0.88,93.78,0.42,2.14
2016,1,2,16,185.77,132.42,130.89,2.08,24.4,0.84,93.82,0.35,2.07
2016,1,2,17,46.38,38.28,36.26,1.89,23.77,0.84,93.87,0.23,2.06
2016,1,2,18,0.0,0.0,0.0,1.47,23.17,0.99,93.92,-999.0,2.06
2016,1,2,19,0.0,0.0,0.0,1.37,22.87,1.28,94.0,-999.0,1.97
2016,1,2,20,0.0,0.0,0.0,1.14,22.66,1.61,94.03,-999.0,1.72
2016,1,2,21,0.0,0.0,0.0,0.85,22.57,2.07,94.04,-999.0,1.2
2016,1,2,22,0.0,0.0,0.0,0.84,22.34,2.72,94.05,-999.0,1.21
2016,1,2,23,0.0,0.0,0.0,1.03,22.11,2.78,94.03,-999.0,1.52
2016,1,3,0,0.0,0.0,0.0,1.14,21.92,2.31,93.99,-999.0,1.74
2016,1,3,1,0.0,0.0,0.0,1.3,21.7,2.02,93.95,-999.0,1.93
2016,1,3,2,0.0,0.0,0.0,1.47,21.63,1.86,93.94,-999.0,2.1
2016,1,3,3,0.0,0.0,0.0,1.66,21.58,1.67,93.96,-999.0,2.33
2016,1,3,4,0.0,0.0,0.0,1.82,21.54,1.39,93.99,-999.0,2.51
2016,1,3,5,0.0,0.0,0.0,1.87,21.49,1.11,94.03,-999.0,2.58
2016,1,3,6,31.38,18.9,37.17,1.69,21.73,0.84,94.11,0.17,2.4
2016,1,3,7,120.9,12.35,109.85,1.75,22.58,0.64,94.2,0.24,2.11
2016,1,3,8,168.0,60.03,115.61,1.87,22.96,1.46,94.25,0.21,1.94
2016,1,3,9,299.35,31.63,223.9,1.94,23.16,1.43,94.25,0.29,1.92
2016,1,3,10,489.25,55.87,291.77,1.88,23.5,1.5,94.21,0.4,1.81
2016,1,3,11,564.1,116.99,383.94,1.7,23.83,1.67,94.15,0.43,1.6
2016,1,3,12,652.2,116.96,367.84,1.55,24.13,1.75,94.07,0.5,1.41
2016,1,3,13,496.08,63.18,269.78,1.49,24.33,1.75,94.0,0.41,1.32
2016,1,3,14,423.15,84.96,253.52,1.36,24.31,1.74,93.94,0.4,1.18
2016,1,3,15,307.17,128.04,177.58,1.1,24.12,1.77,93.92,0.37,0.93
2016,1,3,16,163.82,44.47,131.27,0.98,23.82,1.78,93.94,0.31,0.9
2016,1,3,17,43.78,21.08,43.33,1.15,23.22,1.87,94.02,0.21,1.48
2016,1,3,18,0.0,0.0,0.0,1.44,22.4,2.27,94.1,-999.0,2.08
2016,1,3,19,0.0,0.0,0.0,1.53,22.19,2.63,94.17,-999.0,2.31
2016,1,3,20,0.0,0.0,0.0,1.5,22.08,2.51,94.23,-999.0,2.25
2016,1,3,21,0.0,0.0,0.0,1.45,22.02,2.2,94.26,-999.0,2.17
2016,1,3,22,0.0,0.0,0.0,1.43,21.9,2.04,94.27,-999.0,2.14
2016,1,3,23,0.0,0.0,0.0,1.37,21.74,2.0,94.22,-999.0,2.03
2016,1,4,0,0.0,0.0,0.0,1.41,21.7,1.9,94.14,-999.0,1.79
2016,1,4,1,0.0,0.0,0.0,1.29,21.86,1.66,94.06,-999.0,1.5
2016,1,4,2,0.0,0.0,0.0,0.92,22.34,1.44,94.01,-999.0,1.04
2016,1,4,3,0.0,0.0,0.0,0.63,22.57,1.2,94.0,-999.0,0.68
2016,1,4,4,0.0,0.0,0.0,0.51,22.63,1.12,94.04,-999.0,0.53
2016,1,4,5,0.0,0.0,0.0,0.55,22.52,1.07,94.12,-999.0,0.57
2016,1,4,6,53.47,34.62,50.62,0.59,22.71,0.96,94.21,0.3,0.63
2016,1,4,7,229.48,182.37,177.63,0.68,23.46,0.91,94.29,0.45,0.7
2016,1,4,8,444.0,358.04,238.98,0.99,24.24,13.11,94.34,0.56,0.91
2016,1,4,9,653.85,384.94,348.35,1.29,25.19,12.53,94.34,0.63,1.12
2016,1,4,10,704.55,421.89,294.94,1.46,26.0,11.38,94.29,0.58,1.25
2016,1,4,11,752.35,321.0,342.05,1.51,26.6,10.24,94.23,0.58,1.31
2016,1,4,12,667.35,259.84,337.3,1.69,26.97,9.5,94.14,0.51,1.49
2016,1,4,13,550.5,268.93,235.44,1.89,27.05,8.56,94.05,0.45,1.72
2016,1,4,14,438.77,189.3,238.98,2.0,26.68,7.8,93.98,0.41,1.91
2016,1,4,15,311.42,221.47,141.44,2.07,26.18,8.04,93.96,0.38,2.03
2016,1,4,16,175.88,72.6,135.15,1.94,25.52,8.62,93.99,0.33,1.99
2016,1,4,17,47.85,41.57,46.86,1.56,24.68,7.79,94.03,0.23,1.89
2016,1,4,18,0.0,0.0,0.0,1.39,24.14,6.97,94.08,-999.0,1.91
2016,1,4,19,0.0,0.0,0.0,1.26,23.98,6.58,94.16,-999.0,1.88
2016,1,4,20,0.0,0.0,0.0,1.32,23.72,5.35,94.22,-999.0,1.92
2016,1,4,21,0.0,0.0,0.0,1.28,23.28,3.27,94.25,-999.0,1.74
2016,1,4,22,0.0,0.0,0.0,1.25,23.02,2.85,94.22,-999.0,1.6
2016,1,4,23,0.0,0.0,0.0,1.22,22.93,1.94,94.17,-999.0,1.48
2016,1,5,0,0.0,0.0,0.0,1.2,22.79,1.09,94.11,-999.0,1.32
2016,1,5,1,0.0,0.0,0.0,1.14,22.67,0.81,94.05,-999.0,1.22
2016,1,5,2,0.0,0.0,0.0,0.91,22.76,0.7,94.02,-999.0,1.0
2016,1,5,3,0.0,0.0,0.0,0.79,22.73,0.76,94.01,-999.0,0.87
2016,1,5,4,0.0,0.0,0.0,0.84,22.59,0.85,94.03,-999.0,0.92
2016,1,5,5,0.0,0.0,0.0,0.81,22.51,1.09,94.09,-999.0,0.89
2016,1,5,6,43.28,50.17,35.65,0.71,22.78,1.86,94.17,0.25,0.78
2016,1,5,7,171.02,206.04,111.98,0.71,23.65,2.51,94.24,0.34,0.83
2016,1,5,8,314.98,280.41,153.12,1.25,24.13,0.75,94.28,0.39,1.23
2016,1,5,9,544.17,404.1,251.9,1.46,24.96,0.66,94.27,0.52,1.37
2016,1,5,10,759.97,466.38,299.57,1.62,25.61,0.47,94.21,0.63,1.45
2016,1,5,11,835.42,485.87,325.98,1.68,26.08,0.4,94.15,0.64,1.45
2016,1,5,12,802.38,360.03,362.67,1.78,26.3,0.35,94.05,0.61,1.51
2016,1,5,13,743.38,533.26,258.51,1.92,26.35,0.44,93.96,0.61,1.62
2016,1,5,14,497.23,301.82,227.05,1.98,26.14,0.53,93.88,0.47,1.73
2016,1,5,15,368.5,359.33,153.95,1.93,25.66,0.65,93.87,0.45,1.78
2016,1,5,16,205.98,230.17,129.99,1.8,25.07,0.83,93.9,0.38,1.76
2016,1,5,17,55.45,64.42,43.58,1.35,24.28,1.06,93.95,0.26,1.62
2016,1,5,18,0.0,0.0,0.0,1.03,23.64,1.1,94.01,-999.0,1.38
2016,1,5,19,0.0,0.0,0.0,0.78,23.5,0.75,94.08,-999.0,1.04
2016,1,5,20,0.0,0.0,0.0,0.58,23.33,0.6,94.13,-999.0,0.77
2016,1,5,21,0.0,0.0,0.0,0.32,23.2,0.56,94.15,-999.0,0.42
2016,1,5,22,0.0,0.0,0.0,0.07,23.05,0.44,94.13,-999.0,0.05
2016,1,5,23,0.0,0.0,0.0,0.28,22.93,0.44,94.08,-999.0,0.21
2016,1,6,0,0.0,0.0,0.0,0.58,22.77,0.53,94.03,-999.0,0.54
2016,1,6,1,0.0,0.0,0.0,0.97,22.56,0.5,93.98,-999.0,0.97
2016,1,6,2,0.0,0.0,0.0,1.33,22.24,0.48,93.95,-999.0,1.38
2016,1,6,3,0.0,0.0,0.0,1.44,21.98,0.41,93.95,-999.0,1.54
2016,1,6,4,0.0,0.0,0.0,1.49,21.95,0.35,93.99,-999.0,1.59
2016,1,6,5,0.0,0.0,0.0,1.4,21.98,0.23,94.05,-999.0,1.52
2016,1,6,6,72.18,179.32,45.9,1.26,22.52,0.15,94.13,0.42,1.43
2016,1,6,7,311.02,553.98,114.87,1.06,23.6,0.09,94.2,0.62,1.07
2016,1,6,8,546.78,653.07,140.37,0.69,25.32,0.0,94.23,0.69,0.76
2016,1,6,9,755.75,744.66,167.7,1.29,26.52,0.0,94.23,0.73,1.24
2016,1,6,10,884.72,809.12,163.29,1.71,27.42,0.0,94.19,0.73,1.59
2016,1,6,11,937.97,678.15,250.14,1.85,28.02,0.0,94.13,0.72,1.7
2016,1,6,12,944.7,717.87,246.19,1.86,28.37,0.0,94.07,0.72,1.64
2016,1,6,13,864.03,676.76,211.15,1.89,28.44,0.0,94.01,0.7,1.64
2016,1,6,14,656.95,581.35,201.23,1.94,28.19,0.0,93.95,0.62,1.7
2016,1,6,15,472.42,646.27,99.14,1.97,27.61,0.0,93.93,0.57,1.79
2016,1,6,16,279.48,474.89,92.73,1.87,26.64,0.0,93.94,0.52,1.81
2016,1,6,17,86.53,275.63,45.36,1.45,25.46,0.0,93.99,0.4,1.81
