# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960101,45.31,4.2674,-999.0,3.528,-999.0,22.97,25.53,20.93,89.31,1.28,2.11,0.8,93.85
19960102,36.14,4.314,-999.0,3.5352,-999.0,22.76,24.79,21.24,89.35,0.61,1.47,0.4,93.9
19960103,2.04,4.5998,-999.0,3.4656,-999.0,22.69,24.56,21.17,87.29,0.75,1.1,0.47,93.82
19960104,15.03,4.728,-999.0,3.8208,-999.0,22.74,25.49,20.66,88.42,0.67,1.35,0.4,93.67
19960105,3.95,5.0256,-999.0,3.912,-999.0,22.46,25.4,20.09,88.68,0.87,1.81,0.55,93.64
19960106,23.73,5.1934,-999.0,4.2696,-999.0,22.37,24.7,20.92,90.83,1.01,1.76,0.59,93.67
19960107,51.9,4.7897,-999.0,3.024,-999.0,22.48,24.94,20.88,93.22,1.3,2.19,0.77,93.7
19960108,39.52,4.4275,-999.0,3.7728,-999.0,22.73,25.06,21.45,89.49,0.68,1.1,0.43,93.7
19960109,9.89,4.4062,-999.0,3.912,-999.0,22.64,26.05,20.78,88.07,1.2,2.43,0.74,93.68
19960110,0.66,5.5344,-999.0,4.4472,-999.0,23.13,25.12,21.46,83.96,0.97,1.54,0.63,93.71
19960111,0.22,4.9728,-999.0,4.4664,-999.0,23.06,25.55,21.43,87.22,0.91,1.52,0.56,93.69
19960112,19.13,4.0884,-999.0,3.2616,-999.0,22.75,24.49,21.67,90.17,0.94,1.71,0.56,93.69
19960113,3.73,5.4046,-999.0,4.7664,-999.0,23.11,25.14,21.96,85.3,0.82,1.52,0.51,93.67
19960114,0.99,5.4082,-999.0,2.9448,-999.0,23.01,25.29,21.35,90.25,1.27,2.08,0.79,93.62
19960115,2.62,4.9687,-999.0,3.9384,-999.0,23.31,25.53,21.83,90.81,1.37,1.73,0.8,93.62
19960116,4.76,5.3066,-999.0,3.3744,-999.0,23.08,24.4,21.93,91.67,0.89,1.74,0.58,93.6
19960117,4.91,5.3453,-999.0,4.3584,-999.0,23.39,26.73,21.66,91.11,1.87,2.84,1.16,93.57
19960118,8.96,5.2111,-999.0,4.2,-999.0,23.36,25.99,21.74,92.02,1.55,2.03,0.92,93.53
19960119,19.13,4.5502,-999.0,3.5088,-999.0,23.07,25.33,21.66,92.29,1.26,1.61,0.75,93.43
19960120,2.39,5.0052,-999.0,4.6704,-999.0,23.4,25.34,21.86,86.7,0.64,1.23,0.42,93.39
19960121,1.73,6.2093,-999.0,2.7024,-999.0,22.84,24.91,21.67,86.25,1.24,1.98,0.79,93.47
19960122,0.28,5.2908,-999.0,3.9336,-999.0,23.17,25.89,21.31,88.68,1.4,1.96,0.88,93.56
19960123,9.54,5.4794,-999.0,3.3048,-999.0,23.44,26.08,21.58,88.9,1.14,1.79,0.68,93.56
19960124,6.62,5.0594,-999.0,4.6944,-999.0,22.97,25.21,21.55,90.5,0.85,1.44,0.53,93.51
19960125,1.35,5.1859,-999.0,4.5216,-999.0,22.86,25.46,21.0,83.16,1.0,1.49,0.62,93.46
19960126,2.5,4.621,-999.0,4.2576,-999.0,23.57,26.98,21.11,83.2,0.87,1.29,0.56,93.38
19960127,1.14,4.8024,-999.0,4.0272,-999.0,22.96,25.93,20.83,83.58,1.2,1.95,0.75,93.51
19960128,0.36,5.7175,-999.0,3.8448,-999.0,23.46,27.2,20.62,81.63,1.42,1.78,0.88,93.54
19960129,0.42,4.5324,-999.0,4.2432,-999.0,24.05,27.0,21.7,81.81,0.8,1.2,0.52,93.5
19960130,0.77,4.9519,-999.0,4.5264,-999.0,23.52,25.84,21.78,84.7,0.91,1.33,0.58,93.46
