# NASA POWER daily point,lat=-4.53006,lon=136.89348,grid_elev_m=303.99,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960101,39.48,4.7935,-999.0,3.5856,-999.0,24.13,25.79,22.81,92.8,1.0,2.21,0.41,97.58
19960102,9.68,5.5253,-999.0,2.9424,-999.0,24.14,26.52,22.3,91.53,1.31,2.07,0.48,97.51
19960103,13.78,5.5224,-999.0,3.3792,-999.0,24.11,26.19,23.2,95.49,1.45,2.41,0.58,97.42
19960104,2.5,5.0945,-999.0,3.6072,-999.0,24.08,25.58,22.97,94.77,1.43,2.36,0.63,97.17
19960105,0.93,5.5274,-999.0,3.792,-999.0,24.59,27.56,22.36,89.55,1.58,2.69,0.67,97.1
19960106,0.28,5.0333,-999.0,3.432,-999.0,24.58,27.7,22.76,88.48,1.41,2.56,0.59,97.19
19960107,7.76,5.2241,-999.0,3.9816,-999.0,24.64,26.73,23.15,91.92,1.24,2.12,0.54,97.21
19960108,4.91,5.1166,-999.0,2.7768,-999.0,24.98,28.79,22.64,89.71,1.32,2.77,0.58,97.16
19960109,15.7,5.2025,-999.0,2.8872,-999.0,24.27,26.81,22.75,92.23,1.4,2.67,0.5,97.17
19960110,15.3,5.1305,-999.0,4.7784,-999.0,23.97,26.35,22.88,93.25,1.1,1.91,0.47,97.26
19960111,25.97,3.9206,-999.0,3.2184,-999.0,24.57,27.23,23.04,90.14,1.09,2.36,0.43,97.28
19960112,2.56,5.6378,-999.0,3.192,-999.0,24.22,26.9,22.76,90.31,1.29,2.33,0.49,97.38
19960113,1.19,4.8701,-999.0,3.78,-999.0,24.0,26.82,22.25,91.26,1.2,2.03,0.5,97.38
19960114,19.75,3.767,-999.0,3.336,-999.0,23.98,26.28,22.51,91.05,1.21,2.02,0.5,97.34
19960115,0.52,5.9659,-999.0,2.1456,-999.0,24.13,27.58,21.45,87.95,1.22,2.16,0.52,97.37
19960116,2.28,5.6561,-999.0,2.8704,-999.0,24.29,27.65,21.71,88.32,1.24,1.87,0.5,97.31
19960117,6.02,5.5702,-999.0,4.404,-999.0,24.35,27.58,22.17,90.64,1.32,2.4,0.6,97.3
19960118,2.2,4.6186,-999.0,3.7464,-999.0,24.52,27.97,22.16,89.04,1.05,2.08,0.42,97.25
19960119,5.35,5.6527,-999.0,2.7672,-999.0,24.31,27.36,22.26,90.41,1.27,2.07,0.45,97.07
19960120,7.07,6.0086,-999.0,4.5,-999.0,24.29,26.57,22.57,92.32,0.93,1.75,0.35,97.04
19960121,2.35,4.8619,-999.0,4.4976,-999.0,24.59,26.99,22.85,91.08,1.1,1.82,0.44,97.13
19960122,5.09,5.651,-999.0,3.7704,-999.0,23.78,25.49,22.6,93.68,1.3,1.93,0.52,97.2
19960123,11.45,4.9591,-999.0,3.8352,-999.0,24.11,27.1,22.16,92.67,1.47,2.74,0.59,97.19
19960124,13.75,5.6414,-999.0,3.4032,-999.0,24.25,27.23,22.41,91.08,0.99,1.78,0.48,97.15
19960125,31.68,5.2658,-999.0,3.4848,-999.0,23.4,26.19,21.81,93.28,1.13,1.95,0.54,97.06
19960126,6.13,4.3032,-999.0,4.0224,-999.0,23.5,26.45,21.61,92.93,1.5,2.5,0.57,97.03
19960127,8.23,5.8411,-999.0,2.5608,-999.0,23.83,25.75,22.04,93.28,1.18,1.59,0.46,97.07
19960128,9.45,5.6374,-999.0,2.8152,-999.0,24.11,26.29,22.71,94.57,1.37,2.19,0.53,97.13
19960129,13.93,5.0047,-999.0,4.0968,-999.0,24.2,25.68,22.8,97.22,1.4,1.97,0.56,97.12
19960130,9.84,5.899,-999.0,2.376,-999.0,24.42,26.81,22.69,92.85,1.15,1.96,0.47,97.13
19960131,21.5,5.6066,-999.0,5.1024,-999.0,24.67,28.01,22.6,91.77,1.3,2.23,0.52,97.17
19960201,22.26,5.6518,-999.0,3.864,-999.0,24.42,27.54,22.19,91.88,1.34,2.45,0.6,97.05
19960202,13.38,5.3136,-999.0,3.0024,-999.0,24.25,25.89,23.19,94.17,1.23,2.15,0.59,97.04
19960203,3.34,4.3073,-999.0,3.6192,-999.0,23.66,25.34,22.46,92.87,0.89,1.56,0.44,97.12
19960204,5.78,5.4571,-999.0,4.0704,-999.0,24.07,26.18,22.29,93.68,1.47,2.4,0.58,97.13
19960205,8.57,6.0535,-999.0,3.2736,-999.0,24.69,27.76,22.81,92.47,1.48,2.75,0.59,97.15
19960206,7.96,4.4611,-999.0,3.9384,-999.0,23.82,25.38,21.85,95.83,1.64,2.95,0.65,97.28
19960207,40.04,5.2651,-999.0,3.7224,-999.0,23.27,24.92,21.75,92.58,0.91,1.48,0.37,97.33
19960208,29.54,4.1443,-999.0,3.5304,-999.0,23.61,26.23,21.8,91.86,0.74,1.14,0.36,97.37
19960209,2.27,5.1451,-999.0,4.3032,-999.0,24.2,27.18,21.99,90.64,1.14,2.01,0.42,97.29
19960210,59.45,5.6376,-999.0,4.5672,-999.0,24.51,25.89,23.31,97.9,1.2,1.58,0.52,97.24
19960211,32.04,5.1223,-999.0,3.7704,-999.0,24.37,25.84,23.51,97.12,1.4,2.37,0.56,97.31
19960212,11.03,5.1444,-999.0,4.3272,-999.0,23.97,25.17,23.07,95.4,1.19,1.47,0.48,97.35
19960213,3.92,5.3237,-999.0,4.6104,-999.0,24.34,26.81,22.31,89.81,0.96,1.5,0.35,97.31
19960214,17.02,5.8831,-999.0,4.0104,-999.0,24.57,26.43,22.95,94.38,1.14,1.78,0.48,97.09
19960215,1.42,5.6381,-999.0,4.0272,-999.0,25.67,27.79,24.47,87.29,1.15,2.36,0.55,96.98
19960216,99.02,5.2968,-999.0,3.1224,-999.0,24.95,26.26,23.88,90.92,1.22,2.36,0.54,97.08
