# NASA POWER daily point,lat=-0.79355,lon=100.28917,grid_elev_m=81.29,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960101,7.25,4.163,-999.0,3.744,-999.0,26.73,27.48,26.06,78.76,2.21,4.81,1.99,100.22
19960102,4.11,4.3171,-999.0,3.9672,-999.0,25.96,26.99,25.55,77.81,1.73,3.76,1.51,100.27
19960103,6.45,4.325,-999.0,3.5448,-999.0,26.36,27.16,25.62,79.84,1.64,2.97,1.5,100.21
19960104,6.65,3.5765,-999.0,3.2208,-999.0,25.29,26.16,24.96,83.27,1.88,3.69,1.68,100.09
19960105,21.62,4.0464,-999.0,3.6576,-999.0,26.15,27.14,25.08,80.04,2.09,3.77,1.83,100.0
19960106,4.65,3.7222,-999.0,3.4944,-999.0,26.15,26.82,25.81,82.41,2.35,3.75,2.08,100.01
19960107,7.75,4.3985,-999.0,4.1256,-999.0,26.4,27.08,25.71,81.58,1.72,2.94,1.55,100.06
19960108,1.83,4.3356,-999.0,3.6936,-999.0,26.65,27.66,25.29,78.72,1.77,2.86,1.62,100.12
19960109,22.98,4.2425,-999.0,3.348,-999.0,27.26,28.22,26.51,75.44,1.76,3.89,1.58,100.07
19960110,50.69,3.2599,-999.0,2.8776,-999.0,25.85,26.71,25.22,87.44,3.77,5.45,3.33,100.09
19960111,3.87,4.2456,-999.0,4.092,-999.0,25.99,26.84,24.97,77.37,2.16,4.31,1.95,100.1
19960112,0.96,4.5118,-999.0,4.0896,-999.0,27.33,27.87,26.5,77.57,2.31,3.21,2.11,99.96
19960113,0.76,4.2914,-999.0,4.1112,-999.0,27.12,27.96,25.97,81.16,1.63,2.7,1.53,99.97
19960114,0.33,5.2795,-999.0,4.6176,-999.0,27.54,28.87,26.24,74.16,1.78,2.78,1.64,99.91
19960115,1.0,5.2898,-999.0,4.0872,-999.0,27.32,28.36,26.37,76.28,2.12,3.83,1.92,99.95
