-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2016 through 12/31/2025 in LST
Location: Latitude  -4.5301   Longitude 136.8935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 303.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/hour) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Airport: flat rough grass (airportgrass) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,WS10M,T2M,PRECTOTCORR,PS,ALLSKY_KT,WSC
2016,1,1,0,0.0,0.0,0.0,0.51,24.43,6.81,97.63,-999.0,1.3
2016,1,1,1,0.0,0.0,0.0,0.47,24.23,6.68,97.57,-999.0,1.23
2016,1,1,2,0.0,0.0,0.0,0.42,24.07,6.83,97.54,-999.0,1.21
2016,1,1,3,0.0,0.0,0.0,0.36,24.01,7.72,97.56,-999.0,1.15
2016,1,1,4,0.0,0.0,0.0,0.25,23.95,7.81,97.61,-999.0,0.97
2016,1,1,5,0.0,0.0,0.0,0.57,23.83,7.54,97.67,-999.0,0.93
2016,1,1,6,86.4,151.92,63.4,0.64,24.28,6.96,97.74,0.37,0.84
2016,1,1,7,286.3,536.59,95.44,0.51,25.44,6.19,97.81,0.52,0.63
2016,1,1,8,569.0,717.31,136.7,0.91,25.86,5.11,97.84,0.68,1.12
2016,1,1,9,783.4,828.97,112.23,1.24,26.25,2.11,97.83,0.73,1.46
2016,1,1,10,867.22,740.8,203.5,1.22,26.81,1.66,97.78,0.7,1.26
2016,1,1,11,854.28,680.5,204.39,1.1,27.19,1.43,97.7,0.65,1.01
2016,1,1,12,806.3,591.49,227.85,1.1,27.24,1.0,97.63,0.61,0.96
2016,1,1,13,751.33,665.05,176.07,1.03,27.24,1.13,97.55,0.61,0.89
2016,1,1,14,589.05,414.0,212.2,0.97,27.13,1.25,97.49,0.56,0.83
2016,1,1,15,429.67,536.61,122.91,0.9,26.87,1.16,97.47,0.53,0.82
2016,1,1,16,232.05,250.41,115.42,0.77,26.38,1.1,97.5,0.44,0.75
2016,1,1,17,60.17,85.31,48.41,0.57,25.7,1.08,97.53,0.31,0.64
2016,1,1,18,0.0,0.0,0.0,0.49,24.99,1.04,97.57,-999.0,0.71
2016,1,1,19,0.0,0.0,0.0,0.55,24.77,0.83,97.63,-999.0,0.71
2016,1,1,20,0.0,0.0,0.0,0.34,24.76,0.81,97.7,-999.0,0.49
2016,1,1,21,0.0,0.0,0.0,0.79,24.5,0.88,97.73,-999.0,1.08
2016,1,1,22,0.0,0.0,0.0,0.92,24.32,0.98,97.72,-999.0,1.29
2016,1,1,23,0.0,0.0,0.0,0.9,24.22,1.15,97.67,-999.0,1.22
2016,1,2,0,0.0,0.0,0.0,0.95,24.12,1.18,97.6,-999.0,1.19
2016,1,2,1,0.0,0.0,0.0,0.96,24.12,1.28,97.53,-999.0,1.15
2016,1,2,2,0.0,0.0,0.0,0.93,24.21,1.29,97.5,-999.0,1.05
2016,1,2,3,0.0,0.0,0.0,0.92,24.19,1.48,97.5,-999.0,1.05
2016,1,2,4,0.0,0.0,0.0,0.96,24.03,1.62,97.56,-999.0,1.12
2016,1,2,5,0.0,0.0,0.0,0.96,23.95,1.73,97.65,-999.0,1.13
2016,1,2,6,100.38,284.82,55.64,0.86,24.33,1.66,97.73,0.44,1.18
2016,1,2,7,332.67,490.01,115.16,0.23,25.63,1.62,97.79,0.61,0.86
2016,1,2,8,579.0,746.37,105.39,0.19,26.79,1.59,97.79,0.69,0.11
2016,1,2,9,713.42,673.41,162.85,0.76,27.52,3.53,97.75,0.66,0.56
2016,1,2,10,772.0,688.3,181.83,1.17,28.01,3.23,97.68,0.62,1.01
2016,1,2,11,816.67,621.4,248.95,1.44,28.24,3.53,97.59,0.62,1.33
2016,1,2,12,825.05,540.64,277.05,1.6,28.2,4.13,97.5,0.63,1.57
2016,1,2,13,733.62,519.52,271.04,1.66,28.01,4.45,97.42,0.6,1.71
2016,1,2,14,541.42,402.89,220.46,1.58,27.56,4.88,97.37,0.51,1.72
2016,1,2,15,397.98,385.62,176.8,1.42,26.99,4.56,97.35,0.49,1.59
2016,1,2,16,216.4,236.46,138.29,1.17,26.43,4.29,97.38,0.41,1.33
2016,1,2,17,54.0,92.82,49.74,0.79,25.9,3.75,97.42,0.27,1.04
2016,1,2,18,0.0,0.0,0.0,0.9,25.42,2.92,97.48,-999.0,1.19
2016,1,2,19,0.0,0.0,0.0,1.06,25.08,2.14,97.52,-999.0,1.39
2016,1,2,20,0.0,0.0,0.0,1.11,24.79,1.32,97.54,-999.0,1.46
2016,1,2,21,0.0,0.0,0.0,1.2,24.52,0.9,97.51,-999.0,1.67
2016,1,2,22,0.0,0.0,0.0,1.23,24.35,1.13,97.46,-999.0,1.73
2016,1,2,23,0.0,0.0,0.0,1.07,24.4,1.53,97.41,-999.0,1.39
